,review,label
0,"The best thing about Interstellar is that, like Inception, the science and the ideas are as real, as sophisticated, and as advanced, as any ideas out there. If you see a critic or somebody saying this is convoluted or overly complex that says more about their lack of understanding than about the movie. We should be thrilled Nolan is thinking about and making movies about these things. Bravo.",1
1,"Christopher Nolan did it again; Interstellar will twist your mind and fill your heart with love. Interstellar isn't just a massive space-adventure. It's much more than that; it’s a film about human bonding. Interstellar is by far the best sci-fi film of the year, and one of the greatest of all time. The vast storyline about the connection between us humans is so incredible, I felt so attracted to the characters and I almost started crying because it's so dramatic and epic. I usually don't feel so attracted to the characters like in Interstellar, so this was just so incredible! When it comes to the actors and their roles, are they all superb. Matthew McConaughey as Cooper is just fantastic; he's both dramatic and stunning in action. Jessica Chastain and Mackenzie Foy as Murph are both awesome, even a bit touching. One aspect of Interstellar (when it comes to the actors) is that there's one actor I didn't expect to be in this film, so it was a big surprise! There's even some humor between the characters in this film, which I didn't expect. As mentioned, the story is wonderful, but there might be some slow scenes in the end of the first act, but the ending explained it all so there's nothing wrong about it! Interstellar is a film that just kept going and going when I saw it. I thought it would end like 3 or 4 times but instead it just continued with even more exiting and innovated things that I never have seen before. I can tell you this: if you thought Inception was something innovating and spectacular, go and watch Interstellar, you won't regret it! Some people think the last act of the film is less impressive, but I don't agree, it's fantastic! The structure of Interstellar is in my opinion very similar with The Prestige, maybe not as excessive but I totally love it! It's so clear that this is a film by Christopher Nolan, just the visuals are incredible and I was so amazed while watching it. It even looks more real than the film Gravity, and the first 30 minutes of Interstellar is totally superior than Gravity. I couldn't even see if there are CGI in this film, and that there's no 3D is a great thing! There are some minor flaws in the film, and the first thing is the soundtrack. Yes it's from the famous composer Hans Zimmer, and I love his previous works like the music in The Dark Knight Trilogy and in the film Inception. But it's not exactly as massive and touching as I thought it would be. It's still impressive, but not as vast or touching. Another thing is the first act of the film; it felt like they had cut too much scenes, because it felt a bit to fast. There could also have been a bit more action. The last aspect is the trailer, it doesn't spoil much about the film, but I think they should have shown less of the visuals. It could have resulted in even more surprising things with the film. This is the best film from Christopher Nolan to date, but it's not a perfect film. Even though, I don't think we need to wait that long until he creates something even more spectacular than Interstellar. Interstellar get a 9.5/10",1
2,"Music perfectly falls on the picture, the story can not tear myself away from the screen for almost three hours. This is simply the best modern sci-fi film. And don't forget, story based on Kip Thorne works, and theoretically it can be true! ^_^",1
3,"In my opinion, Interstellar certainly lives up to the hype. Words simply can't describe the experience I had while watching this movie unfold before my eyes in that glorious 70 MM Imax format. The visuals were jaw dropping, acting was superb, and the story was filled with originality and hand full of surprises along the way. There is so much to this movie you don't know about when you go into seeing it for the first time, which was a huge plus! The less you know about the story for this movie, the better. While there are a lot of positives for this movie, my only complaint would have to be the pacing of the story. There were a couple instances where I felt like the story was being rushed and that I had to just go along with what was going on at those points. Despite the movie being almost three hours long, I kinda wish it could be a little longer so that the story could progress more naturally. Other than that, I have no other negatives to mention. I walked out of the theater feeling satisfied and wanting to experience it again! And probably will!",1
5,"Not a film about science as we commonly understand it. In fact, Interstellar works hard to convince you to see science in unimagined ways and this (that most critics are using as a reason why the film fails) is its strongest asset. A film with incredible imagination, Interstellar weaves reductive iterations of themes like exploration, love and time together so cohesively that the audience is challenged to see them each with new wonder. Anne Hathaway is given one of her most complex roles to date and her work here is both efficient and subtle. Technically, the editing, cinematography and score all work hard to bring the ideas of the story to new heights.",1
6,"I emplore everyone to put the critics aside and go into this film with an open mind.  It does get pretty science-y but do not let that stop you!  This movie is a brilliant opus to both 2001 (with a MUCH more satisfying climax) not saying the end of 2001 is bad, also another amazing movie.  There is also some subtle points to the movie The Black Hole.  If you have seen both of these, movies then you should get the references.  Jaw-dropping soundtrack!  Cinematography is some of the best that I have seen this year.  I really feel that this is Nolan's love letter to the genre.  The movie is not without fault though, but everything blended so WELL that I still gave it a 10.  I have not had a movie invoke so much emotion as this one did in a long time!  One more thing to note, if you plan on seeing this, please see it in 70MM IMAX!  It just adds to the size and scope of the movie!",1
7,"An absolute visual feast, Interstellar delivers on its promises, and it actually - believe it or not - has a more satisfying ending than 2001.  Not that the story is superior to Kubrick's classic, but there's a heart to it that I did not expect.  I enjoyed the science - it does not talk down to its audience, and I can say I learned a few things.    I especially enjoyed the robots with their matter-of-fact voices/affect.  Though they don't have a human appearance - they initially appear super clunky (until you come to realize what they're capable of) - you instantly feel comfortable with them, which I credit in great part to the incredible voice acting of Bill Irwin.  The father-daughter story is touching - both the young actress and Chastain are tremendous.  McConaughey, if you've seen him in True Detective, does not disappoint.",1
8,"this is other masterpiece movie from Mr.Nolan. the visualy are very stunning and it hase an emotional aspect. Well done Nolan!!! i was blown away for the second time and i will go tomorrow for the thirth time to enjoy his movie in Imax format, because that is the only experience that you can see it in the cinema.",1
10,"I am not a Nolanite. Maybe I'm an anti-Nolanite. I have nothing but contempt for movies about comic book superheroes. I hated Inception. I went into this movie with enough baggage to get me thrown off a plane. It was superb. It was mind-blowing. I'm old. I saw 2001 when it originally came out, when everybody who saw it, came out saying ""WTF?"" Then, people discovered watching 2001 while high - and everything fell into place! During the (controversial) 3rd act, I was back in 2001 (and wondering where I left my bong years before..). I didn't really need to heighten the sensation though, Nolan bombarded the audience with son et lumieres and McConaughey bombarded the audience with the most beautifully wrought portrayal of abject desperation and unconditional love I've ever seen on screen. It broke my heart and I'm cynical as hell. The screenplay was serviceable, the dialogue was atrocious (this is Nolan after all), but it didn't matter. The visuals made Gravity look like it was filmed on an IPhone. The performances? Even Anne Hathaway was fine. Jessica Chastain and Mackenzie Foy, I shall forever revere. But McConaughey? Good God, this man is working on a level unknown to other actors. Absolutely electrifying. Not the Oscar bait that the Academy usually rewards, I think a Nobel Prize is in order. I never suspected a film would come along this year that could threaten my beloved Boyhood's hold on my heart, yet Interstellar comes perilously close.",1
11,"Unlike his usual blockbuster style, Nolan has challenged both himself and the audiences a greater depth in this stunning space opera creatively. Slightly clinched and flawed in term of plot wise, this pure hard science fiction that stresses a lot on Quantum theories, space elements, astrophysics, time, gravity and the rushing, complex and slightly illogical third act might squeeze one's mind in this heavy 3 hours mission, but the worthy and meaningful dialogues, enormous expansion from the universe in Gravity, strong and connecting relationship between father and daughter have overall made the film entertaining, thrilling and thought-provoking. Hans Zimmer﻿ follows the director's effort in terms of scoring, which the musics sound more emotional, calm and creepy rather than the usual loud and powerful style; award-winning cinematographer Hoyte van Hoytema did perfect job to present stunning, immersive and state-of-the-art visual effects of the space, wormholes, black hole and unknown planets beyond our galaxy. It might not be the most epic and perfect film, but this love letter from Nolan which is heavily inspired by 2001: A Space Odyssey, sending through the time and gravity somehow represents a rare film that begins and ends so beautifully and stellar.",1
