,review,label
1,"The Maze Runner(2014) is so cool, adventurous, and very exciting. The acting was well developed along with the characters, the plot was interesting, and the action rocks.",1
2,"I've been sooo disappointed by this movie. I read the book and it IS amazing: it goes deep in topics and feelings, it makes the reader think about important topics of life somehow. I actually guess that the movie will be nice for those who didn't read the book because it is an avarage movie with action and suspense.... but, man... this is nothing compared to the books. Dashner is a real genius for what he wrote and for the way he wrote it but the movie just ruined the mystery of the book. Through the pages, you learnt together with the Gladers to know the place around you and you came to understand it and eventually you figured out all the secrets of the Maze. This way, the movie lost the magic and transformed everything in a medium quality thing. The characters are wrong (almost all of them but Newt and partly Thomas), the values are wrong, the philosophy that rules the Glade and the Maze is wrong.. not to talk about the riddle to escape...  I will stop here... The movie really sucks if compared to the book.",0
3,"A stupid movie dressed up with a lot of sound and fury. It makes extensive use of a new device among bad movies/shows: pretending to be interesting by leading you on with mystery, and when it gets to the end you can tell the explanation was haphazardly slapped together after the mysterious elements and not before. It pretends to be smart, but is unaware of how stupid it is. I'm going to go ahead and call this ""Fake Science Fiction"".",0
5,"The Maze Runner is as good as the book (I've read it as well as seen this), and the best part about the movie is that it's totally different from the book, like how Gone Girl's ending will be different from the book's ending, as it is rumored to be.",1
6,"Sterile, Humorless and Chaste! OMG! Please Not A Sequel! I Beg You! The story makes no sense, whatsoever! Nada! Nothing! Not in the slightest! To make matters worse, the ending was nothing more then prepping the audience for a sequel! It was so in your face it was insulting. You mean the audience won't have a clue as to why all those innocent people died unless you come back and waste another 12 dollars! Wow! I will be avoiding any future sequel like the plague! The Maze Runner also reflects the sterile and chaste expectations of the American movie going audience. For starters, you have young men living together as a colony for up to as long as three years and they all have perfect haircuts! Give me a break! I couldn't believe how well groomed they all were. Did they have a hair stylist pop in from in from another dimension on a regular basis? And how could they all be so clean shaven? Did they bring razors and shaving cream with them? None of these men have delayed puberty problems that I could tell. LOL! Some of them must have developed facial hair after years of being stranded. But what bothered me most was what great shape their clothes were in. These are young men in there late teens and early 20's. Did they bring a seamstress and a washing machine with them, too!? They are supposed to be living like Robinson Crusoe, not like George Jetson! In this entire awful film there was only one single moment of humor. Even worse it has zero sexuality. Here's all these incredibly good looking and physically fit young men and we don't see a single one of them with their shirt off for a second! Why is non-stop violence, intense screaming and even murder is OK, but not showing off the male body? Why have we become such a warped and sterile society where death and violence doesn't offend in the slightest, but God forbid you show a single male nipple or hairy armpit?",0
10,"Another crappy movie released this year. Story is s***, acting is s***. Its supposed to be an sf mystery but it fails miserably. I can't believe they are going to release more of this c***.",0
12,"The Maze Runner is an intense and imaginative piece of work that I absolutely adored. However, this movie has a handful of flaws throughout, such as some character development, cliches and ""I predicted it"" sequences.",1
16,"I had a blast watching this. Directing was effective to convey the tension, that alone kept me invested. Characters development was a secondary task (but executed well), because the main spotlight of the film was the mystery of the maze and questions: why are we here and how we'll escape it?The creatures that inhabited the maze were nothing short of terrifying - stuff that felt taken out of ""Doom"" or something similar. The maze itself felt claustrophobic, which added a lot of tension.The only problems I had with this film were the explanations of major plot points and some weird plot twists. Besides that the film ultimately was a good time.",1
17,"Another YA adaptation gets the green light for a sequel this year, after Shailene Woodley’s star-making vehicle DIVERGENT (2014, 6/10), although both are welterweights compared to THE HUNGER GAMES juggernaut as far as rate of return is concerned.  THE MAZE RUNNER is unique in its claustrophobic single-location setting (considerably slims down the budget, an estimated $34 million set side by side with $85 million of DIVERGENT), 90% of time the youngsters (boys exclusively) are entrapped in a glade (so they are called gladers) with the only exit is a giant maze with jumbo cybernetic arthropods named Grievers preying them.continue reading my review on my blog: google cinema omnivore, thanks",1
18,"Amazing movie! Very nice, thrilling from the begining till the end. Wow, when I see this movie, my heart beat faster and faster..  I guess the director was good in directing the stories. The character, the conflict, the tension.. Everything goes so smoothly. Although i wonder how the hell that Gally manage to get out of the glade and survived and sad ending when Chuck died. I can't wait to see the second movie, coz it's worth to watch.",1
19,"Why oh why does Hollywood keep producing crap is simply beyond my understanding. I was about to leave the theater, but I stayed just so I can fully say this was total garbage. For the love of the silver screen fire whoever wrote the script and never employ them again. The plot is predictable, the story is lame, the ending, well...let me just say...there is no ending...everything hangs in the air...franchise and what not- If I go to the theater I want to watch a movie and not a series....STOP IT WITH YOUR FRANCHISE TRILOGY **** The best trilogies started as a full contained movies....just stop ....please!!!!",0
20,"This is a good film. The story is good, the characters are interesting, the maze is a cool setting and is emotional sometimes. This film is a good time.",1
21,A solid movie at most points throughout. The acting by the main character wasn't as I had hoped but there were many great performances by supporting characters. A few cool action scenes to keep you into the movie but it does get slow at times. A mediocre ending was a bit disappointing but it is an average overall movie.,1
23,"The Maze Runner may not be on the level of Katniss Everdeen and her fight, but just like The Hunger Games it gave its young cast room to shine with its creative story. The world inside and out of the maze isn’t just interesting, it’s impressive enough to make you want more. Yeah there could have been a few fixed holes, but the world created is fresh and entertaining. And if the filmmaker(s) can build off what they started here, this can become one of the few more then above average ‘young adult’ book to movie franchises we will see. Rating: 7.5/10",1
24,"This was pretty good, actually. The darker approach made it much more interesting than most YA movies and more intense, too. I also liked the turns the movie took. The protagonists were very likable and memorable. The sound, score, and cinematography were probably the best parts though. I'm definitely looking forward to the sequels.",1
25,"I read the book, so I was expecting a letdown. Thankfully, I was mistaken. Even though I didn't like the first half, as it tries to stay close to the original material and FAILS, the second half keeps a safe distance from it but doesn't take that many liberties as well, staying in a good middle ground where every book-to-film adaptation should stand. Surprisingly, the ending was better executed in the movie than in the book itself; the kind of ending that truly would've shocked me if I hadn't already knew what was coming. Really worth your time, this one.",1
26,"I've read the complete trilogy, and enjoyed every single page. I feel that the ratings are a bit low but they always seem to be for movies based off of novels. The movie focused very well on the maze and the violence,  but not so much on character development. Still, it had me on the edge of my seat. Terrific and terrifying, would recommend 9/10.",1
27,"*SPOILERS!* We start this **** show rat race out with boring characters and an over the top story line. At the end of this maze we discover an interesting twist... that twist of course being that the movie will never get better, you wasted your time, and you will never get it back. The End.",0
28,"I will never not enjoy watching attractive teens trying not to get slaughtered. That being said, there is a mystery at work in The Maze Runner that pushes the film beyond some of its YA adaptation brethren. I really wanted to know what's at the root of it all and wasn't at all disappointed with what I found. While I'm generally an advocate of waiting for the DVD, I think you need to see this one in the cinema to grasp the full scope of the filmmaker's vision.",1
29,"I wasn' expecting much until the ending, and altough the cinema was very empty this did turn out to surprise me slightly in the ending when you expect everybody to be either dead and the survivors barely figure out their situation. This is going to be an episodic like Twilight but with a different kind of story/premise.",1
