,review,label
0, very nice movie...i wish trere will be Transformers 2.,1
1," It's amazing! on VFX, the Story, everything! You have to give it a shot... don't be narrow-minded.",1
3," Being a fan of the original cartoon (Generation1), I just can't hate on this movie as much as others try to influence me to. I felt it was a great adaptation of the series into film. I also enjoyed Bay's vision of what the Transformers should've been. Most of all I enjoyed the fact that I it made me a diehard fan all over again. If I had to complain about anything, was the lack of the Porsche for Jazz and Megatron and Starscream not having such a critical and deep role in the movies. The cartoons were awesome at making us emotionally attached the Autobots and decepticons. The only ones I felt that way about were Bumbole Bee and Prime. Superb effort on this flick though!",1
5, Tons of CGI Hot Chick Lame Lead Character Moronic Humor Infantile Dialog and Plot In Short: Entertainment for the Borderline Deficient!,0
6,"Special Effects 9/10, Action 9/10, Score 10/10, Cinematography 9/10, Sound Design 9/10, Film Design 9/10, Characters 7/10, Acting 7/10, Story 7/10, Humor 7/10, Pacing 6/10,Basically it depends what your looking for, if you are a teen or want a really stylised action film you will probably love it, if you are an adult and want a deep sci-fi story you will probably hate it. The best scenes are 10/10 the worst scenes are 4/10, under no circumstances should you believe anyone that gives this film a score in the red, there are several films I absolutely hate but I rate them fairly for its audience. People that are giving this lower than 6 seem to be very bitter people in general. Not only that but they probably believe that District 9 has a very good story when infact its just a bunch of semi-suggestive anti apartheid images superimposed over some terrible jokes.",1
7,"This film is **** **** Nothing at all good was used from the original Transformers, basically someone got the liecnse and created a half arsed peice of **** just to make money. The plot is about a big cube, there are no transformers untill half way in, and then they have ****e ones, even then they don't **** act anyhting like the characters should, they hardly **** talk, the kid who stars in this is a little piece of piss i saw in a ****ty kids program when i was younger, he is awefull, i don't know why but i look at him and his stupid ass smug face and i can imagine he just stinks of farts. I hope he dies. The 80s animated film is over 9000 times better.",0
8,I do not understand why people like this piece of **** It's almost pure bull****. But the second one took care of that. This moive is so goddamn insulting. We were supposed to care about that robot? What the **** Mr. Bay? **** you up your stupid ****ing AIDS-ridden ass. I just ****ing hate you. Stop making movies.,0
13,It's pretty bad. Far too convoluted and messy for something with such a simple plot at heart. It's shot interestingly until you realize that you can't make heads or tails of anything you see on screen other than Megan Fox's cleavage.,0
14, If you are looking for a real simple story line amazingly executed. Here you go... The computer generated imagery is phenominal.,1
15, Awesome! Never thought it could be made into film. Makes 40-ish adults like me drool like a pockmarked kid. The viewers applauded after the screening.,1
16,I can't believe the comments! This is the reason a no-talent like Michael Bay still has a job. We wanted to see The Transformers..not a dorks journey towards adolescent puberty. CGI was the only thing worth watching.,0
